work_id,Work category,State_x,Constituency_x,Sanction Amount ( ₹ ),Fund Disbursed Amount ( ₹ ),expenditure_ratio,duration_days,sanction_delay_days,payment_count,vendor_count,cost_vs_category_avg,risk_score,final_risk_category,alert_type,risk_reasons
WS/MP620/2024-2025/133166,Normal/Others,Karnataka,DHARWAD,497185.0,497185.0,1.0,97.0,1,1.0,1.0,0.9502330195393426,33.33333333333333,Medium Risk,Normal,High Expenditure; Late First Payment; 
WS/MP620/2025-2026/133167,Trust and Society,Karnataka,DHARWAD,500000.0,0.0,0.0,350.0,437,0.0,0.0,0.5110023525113154,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP620/2024-2025/133190,Trust and Society,Karnataka,DHARWAD,450000.0,0.0,0.0,710.0,77,0.0,0.0,0.4599021172601839,16.666666666666664,Low Risk,Normal,Long Duration; 
WS/MP620/2025-2026/133191,Normal/Others,Karnataka,DHARWAD,1500000.0,850909.0,0.5672726666666666,462.0,325,1.0,1.0,2.8668393642386913,66.66666666666666,High Risk,Priority Alert,High Cost; Long Duration; Long Sanction Delay; Late First Payment; 
WS/MP620/2024-2025/133301,Normal/Others,Karnataka,DHARWAD,398009.0,398009.0,1.0,165.0,44,1.0,1.0,0.7606852456808516,33.33333333333333,Medium Risk,Normal,High Expenditure; Late First Payment; 
WS/MP620/2024-2025/133303,Normal/Others,Karnataka,DHARWAD,399104.0,399104.0,1.0,204.0,16,1.0,1.0,0.7627780384167459,33.33333333333333,Medium Risk,Normal,High Expenditure; Late First Payment; 
WS/MP620/2024-2025/133304,Normal/Others,Karnataka,DHARWAD,396154.0,396154.0,1.0,399.0,44,1.0,1.0,0.7571399210004097,50.0,High Risk,Rule-Based High Risk,Long Duration; High Expenditure; Late First Payment; 
WS/MP620/2025-2026/133305,Normal/Others,Karnataka,DHARWAD,400000.0,0.0,0.0,457.0,329,0.0,0.0,0.7644904971303177,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP620/2024-2025/133306,Normal/Others,Karnataka,DHARWAD,495627.0,495627.0,1.0,125.0,248,1.0,1.0,0.94725532905302,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP620/2024-2025/133307,Normal/Others,Karnataka,DHARWAD,398955.0,398955.0,1.0,346.0,39,1.0,1.0,0.7624932657065647,50.0,High Risk,Rule-Based High Risk,Long Duration; High Expenditure; Late First Payment; 
